iter	Passed	Remaining
0	3	384
1	7	391
2	11	382
3	14	354
4	18	352
5	22	350
6	26	346
7	29	343
8	33	334
9	35	318
10	37	306
11	40	295
12	42	281
13	43	269
14	45	258
15	47	248
16	48	239
17	50	229
18	51	220
19	53	212
20	54	205
21	56	198
22	57	191
23	58	184
24	59	178
25	60	173
26	62	167
27	63	162
28	64	157
29	65	152
30	66	147
31	67	143
32	68	139
33	69	134
34	70	130
35	71	127
36	72	123
37	73	119
38	74	116
39	75	112
40	76	109
41	76	105
42	77	102
43	78	99
44	78	96
45	79	93
46	81	91
47	82	88
48	83	86
49	84	84
50	85	81
51	86	79
52	87	77
53	88	75
54	89	72
55	90	70
56	91	68
57	92	66
58	93	65
59	94	63
60	95	61
61	96	59
62	97	57
63	98	55
64	99	53
65	100	52
66	102	50
67	103	48
68	104	47
69	106	45
70	107	43
71	108	42
72	109	40
73	111	39
74	112	37
75	113	35
76	114	34
77	115	32
78	116	30
79	117	29
80	118	27
81	119	26
82	119	24
83	120	23
84	121	21
85	122	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	128	11
92	129	9
93	130	8
94	131	6
95	132	5
96	133	4
97	134	2
98	135	1
99	136	0
