iter	Passed	Remaining
0	144	144643
1	153	76844
2	161	53537
3	165	41249
4	170	33906
5	179	29742
6	183	26092
7	189	23439
8	194	21380
9	198	19637
10	203	18253
11	210	17309
12	214	16299
13	220	15535
14	223	14687
15	226	13916
16	229	13273
17	234	12793
18	236	12198
19	238	11665
20	239	11173
21	241	10721
22	242	10305
23	244	9930
24	246	9597
25	247	9270
26	248	8961
27	249	8675
28	251	8411
29	252	8166
30	253	7926
31	254	7702
32	255	7492
33	256	7294
34	257	7109
35	258	6933
36	260	6776
37	261	6618
38	262	6464
39	263	6318
40	264	6178
41	265	6046
42	266	5921
43	267	5801
44	267	5685
45	268	5574
46	269	5467
47	270	5366
48	271	5273
49	273	5190
50	274	5113
51	275	5029
52	276	4947
53	278	4870
54	279	4802
55	280	4732
56	281	4664
57	283	4597
58	284	4532
59	285	4467
60	286	4404
61	288	4363
62	289	4306
63	290	4249
64	291	4194
65	292	4141
66	293	4087
67	294	4036
68	295	3986
69	296	3937
70	297	3890
71	298	3845
72	299	3802
73	300	3759
74	301	3717
75	303	3684
76	304	3644
77	305	3606
78	306	3567
79	307	3530
80	307	3493
81	308	3458
82	309	3418
83	310	3384
84	311	3351
85	312	3319
86	313	3287
87	314	3257
88	315	3226
89	316	3196
90	319	3192
91	320	3164
92	321	3136
93	322	3108
94	323	3081
95	324	3055
96	325	3029
97	326	3004
98	327	2979
99	328	2954
100	329	2930
101	330	2907
102	331	2883
103	333	2874
104	335	2856
105	336	2834
106	337	2813
107	338	2792
108	339	2771
109	339	2750
110	340	2730
111	341	2711
112	342	2691
113	343	2671
114	344	2653
115	345	2635
116	346	2615
117	349	2614
118	350	2597
119	351	2579
120	352	2562
121	353	2544
122	354	2528
123	355	2512
124	356	2495
125	357	2481
126	358	2464
127	359	2449
128	360	2433
129	361	2418
130	362	2406
131	363	2393
132	364	2379
133	366	2365
134	367	2351
135	367	2337
136	369	2324
137	370	2311
138	371	2298
139	372	2285
140	372	2271
141	373	2257
142	374	2245
143	375	2232
144	376	2220
145	378	2211
146	379	2200
147	380	2188
148	381	2176
149	382	2165
150	383	2153
151	383	2142
152	384	2130
153	385	2120
154	386	2109
155	387	2098
156	388	2088
157	389	2078
158	391	2068
159	392	2059
160	393	2049
161	394	2040
162	395	2030
163	396	2020
164	397	2010
165	398	2001
166	399	1991
167	400	1983
168	411	2025
169	415	2028
170	418	2028
171	420	2026
172	425	2032
173	427	2028
174	429	2023
175	431	2018
176	432	2011
177	434	2004
178	435	1998
179	437	1993
180	439	1987
181	440	1979
182	441	1971
183	442	1964
184	444	1957
185	445	1949
186	446	1941
187	447	1933
188	448	1925
189	449	1917
190	450	1909
191	452	1903
192	453	1896
193	454	1889
194	455	1880
195	456	1872
196	457	1864
197	458	1856
198	459	1848
199	460	1841
200	461	1833
201	462	1825
202	462	1817
203	463	1809
204	464	1802
205	466	1797
206	467	1791
207	468	1784
208	469	1777
209	470	1769
210	471	1762
211	472	1755
212	473	1749
213	474	1741
214	475	1735
215	476	1728
216	477	1721
217	477	1714
218	478	1707
219	479	1701
220	481	1696
221	482	1690
222	483	1685
223	484	1678
224	485	1672
225	486	1666
226	487	1660
227	488	1654
228	489	1648
229	490	1642
230	491	1636
231	492	1630
232	493	1624
233	494	1618
234	497	1619
235	498	1614
236	499	1608
237	500	1602
238	501	1596
239	502	1591
240	503	1585
241	504	1580
242	505	1574
243	506	1568
244	507	1563
245	508	1558
246	509	1552
247	510	1547
248	511	1543
249	512	1538
250	513	1533
251	514	1528
252	515	1522
253	516	1517
254	517	1512
255	518	1506
256	519	1501
257	520	1496
258	521	1491
259	522	1487
260	523	1481
261	524	1477
262	527	1478
263	528	1473
264	529	1468
265	530	1463
266	531	1459
267	532	1454
268	533	1449
269	534	1444
270	535	1439
271	536	1435
272	537	1430
273	538	1425
274	539	1421
275	540	1416
276	541	1413
277	542	1409
278	543	1404
279	544	1400
280	545	1396
281	546	1391
282	547	1387
283	548	1382
284	549	1378
285	550	1373
286	551	1369
287	552	1365
288	553	1361
289	554	1357
290	557	1359
291	558	1355
292	560	1351
293	561	1347
294	561	1343
295	562	1338
296	563	1334
297	564	1330
298	565	1326
299	566	1322
300	567	1318
301	568	1314
302	569	1310
303	572	1310
304	573	1306
305	574	1302
306	575	1298
307	576	1294
308	577	1290
309	578	1286
310	579	1283
311	580	1279
312	580	1275
313	581	1271
314	582	1267
315	583	1263
316	584	1260
317	586	1256
318	587	1253
319	588	1250
320	589	1246
321	590	1243
322	591	1239
323	592	1235
324	593	1232
325	594	1228
326	595	1225
327	596	1221
328	597	1218
329	598	1214
330	599	1211
331	601	1209
332	602	1206
333	603	1203
334	604	1199
335	605	1195
336	606	1192
337	607	1188
338	608	1185
339	609	1182
340	610	1179
341	611	1176
342	612	1173
343	613	1169
344	615	1168
345	616	1165
346	617	1162
347	618	1158
348	619	1155
349	620	1152
350	621	1148
351	622	1145
352	623	1142
353	624	1139
354	625	1135
355	626	1132
356	627	1129
357	628	1126
358	629	1123
359	630	1121
360	631	1118
361	632	1115
362	633	1112
363	634	1109
364	635	1106
365	636	1103
366	637	1100
367	638	1096
368	639	1093
369	640	1090
370	641	1087
371	642	1084
372	643	1081
373	646	1081
374	647	1078
375	648	1075
376	648	1072
377	649	1069
378	650	1066
379	651	1063
380	652	1060
381	653	1057
382	654	1054
383	655	1051
384	656	1048
385	657	1045
386	658	1042
387	660	1041
388	661	1039
389	662	1036
390	663	1034
391	664	1031
392	665	1028
393	666	1025
394	667	1022
395	668	1019
396	669	1017
397	670	1014
398	671	1011
399	672	1008
400	673	1005
401	675	1004
402	676	1002
403	677	999
404	678	996
405	679	993
406	680	991
407	681	988
408	682	985
409	683	982
410	683	980
411	684	977
412	685	974
413	686	972
414	687	969
415	689	967
416	690	965
417	691	963
418	692	960
419	693	957
420	694	955
421	695	952
422	696	949
423	697	947
424	698	944
425	699	942
426	700	939
427	701	936
428	702	934
429	703	932
430	704	930
431	705	927
432	706	925
433	707	922
434	708	920
435	709	917
436	710	915
437	711	912
438	712	910
439	713	907
440	714	905
441	715	902
442	716	900
443	717	897
444	717	895
445	719	893
446	720	891
447	721	889
448	722	886
449	723	884
450	724	881
451	725	879
452	726	877
453	727	874
454	728	872
455	729	870
456	730	867
457	731	865
458	732	863
459	733	860
460	735	860
461	736	857
462	737	855
463	738	853
464	739	850
465	740	848
466	741	846
467	742	844
468	743	841
469	744	839
470	745	837
471	746	835
472	747	832
473	749	831
474	750	829
475	751	827
476	752	825
477	753	822
478	754	820
479	755	818
480	756	816
481	757	813
482	758	811
483	759	809
484	760	807
485	761	804
486	762	802
487	763	800
488	765	800
489	766	798
490	767	795
491	768	793
492	769	791
493	770	789
494	771	787
495	772	785
496	773	782
497	774	780
498	775	778
499	776	776
500	777	774
501	779	772
502	780	770
503	781	768
504	782	766
505	783	765
506	784	763
507	785	760
508	786	758
509	787	756
510	788	754
511	789	752
512	790	750
513	791	748
514	792	746
515	794	745
516	795	743
517	796	741
518	797	739
519	798	737
520	799	734
521	800	732
522	801	730
523	802	728
524	803	726
525	804	724
526	805	722
527	806	720
528	807	718
529	808	717
530	809	715
531	810	713
532	811	711
533	812	709
534	813	707
535	814	705
536	815	703
537	816	701
538	817	699
539	818	697
540	819	695
541	820	693
542	821	691
543	822	689
544	823	687
545	824	685
546	825	683
547	826	681
548	827	679
549	828	678
550	829	676
551	830	674
552	831	672
553	832	670
554	833	668
555	834	666
556	835	664
557	836	662
558	838	661
559	839	659
560	841	658
561	842	656
562	842	654
563	843	652
564	844	650
565	845	648
566	846	646
567	847	644
568	848	642
569	849	641
570	850	639
571	851	637
572	855	637
573	856	635
574	858	634
575	859	632
576	860	630
577	861	628
578	862	627
579	863	625
580	864	623
581	865	621
582	866	619
583	868	618
584	869	617
585	870	615
586	871	613
587	872	611
588	873	609
589	874	607
590	875	606
591	876	604
592	877	602
593	878	600
594	879	598
595	880	597
596	882	595
597	883	593
598	884	592
599	885	590
600	886	588
601	887	586
602	888	584
603	889	583
604	890	581
605	891	579
606	892	577
607	893	575
608	894	574
609	895	572
610	897	571
611	898	569
612	899	567
613	900	565
614	901	564
615	902	562
616	903	561
617	904	559
618	905	557
619	907	556
620	908	554
621	909	552
622	914	553
623	915	551
624	916	550
625	917	548
626	918	546
627	920	545
628	921	543
629	922	541
630	923	539
631	924	538
632	926	536
633	927	535
634	929	534
635	930	532
636	932	531
637	933	529
638	935	528
639	937	527
640	938	525
641	941	525
642	944	524
643	945	522
644	947	521
645	948	519
646	950	518
647	952	517
648	953	515
649	956	515
650	958	513
651	960	512
652	962	511
653	963	509
654	965	508
655	966	507
656	968	505
657	969	504
658	973	503
659	974	502
660	976	500
661	977	499
662	979	497
663	981	496
664	982	495
665	984	493
666	985	492
667	987	491
668	989	489
